Sample_name,Group,Species,Sex,centeroid,,,,
12-11-2-18_cranium_CLAT,Western Coyote,Coyote (W),U,866.5968642,,,,
28-2-22-6_cranium_CLAT,Western Coyote,Coyote (W),F,830.3361447,,,,
35-9-3-3_cranium_CLAT,Western Coyote,Coyote (W),U,852.5952046,,,,
36-3-6-3_cranium_CLAT,Western Coyote,Coyote (W),U,921.5402876,,,,
36-3-9-3_cranium_CLAT,Western Coyote,Coyote (W),M,884.7243942,,,,
10870_cranium_CLAT,Western Coyote,Coyote (W),U,831.0622824,,,,
13499_cranium_H,Northeastern coyote,Hybrid (NE),M,923.1344885,,,,
13514_cranium_H,Northeastern coyote,Hybrid (NE),M,897.9143093,,,,
13580_cranium_H,Northeastern coyote,Hybrid (NE),U,884.1423249,,,,
13582_cranium_H,Northeastern coyote,Hybrid (NE),U,886.8477735,,,,
13652_cranium_H,Northeastern coyote,Hybrid (NE),M,988.2223634,,,,
13657_cranium_H,Northeastern coyote,Hybrid (NE),M,965.5140637,,,,
13977_cranium_H,Northeastern coyote,Hybrid (NE),M,973.7708244,,,,
13982_cranium_H,Northeastern coyote,Hybrid (NE),M,872.5604521,,,,
13984_cranium_H,Northeastern coyote,Hybrid (NE),F,901.9436402,,,,
13986_cranium_H,Northeastern coyote,Hybrid (NE),F,908.9569173,,,,
14487_cranium_H,Northeastern coyote,Hybrid (NE),M,889.6339872,,,,
14522_cranium_H,Northeastern coyote,Hybrid (NE),M,936.9967545,,,,
14625_cranium_H,Northeastern coyote,Hybrid (NE),M,998.357704,,,,
14634_cranium_H,Northeastern coyote,Hybrid (NE),F,988.3347909,,,,
14638_cranium_H,Northeastern coyote,Hybrid (NE),M,893.8515767,,,,
14639_cranium_H,Northeastern coyote,Hybrid (NE),M,932.1770687,,,,
14640_cranium_H,Northeastern coyote,Hybrid (NE),F,945.329601,,,,
14662_cranium_H,Northeastern coyote,Hybrid (NE),F,852.8654827,,,,
14663_cranium_H,Northeastern coyote,Hybrid (NE),F,840.6204104,,,,
14666_cranium_H,Northeastern coyote,Hybrid (NE),F,889.5852137,,,,
14673_cranium_H,Northeastern coyote,Hybrid (NE),M,894.0216367,,,,
14674_cranium_H,Northeastern coyote,Hybrid (NE),U,890.4664867,,,,
14700_cranium_H,Northeastern coyote,Hybrid (NE),F,890.135988,,,,
14701_cranium_H,Northeastern coyote,Hybrid (NE),F,949.4261876,,,,
14702_cranium_H,Northeastern coyote,Hybrid (NE),M,917.338876,,,,
14703_cranium_H,Northeastern coyote,Hybrid (NE),M,847.3726883,,,,
14754_cranium_H,Northeastern coyote,Hybrid (NE),M,916.0398154,,,,
14780_cranium_H,Northeastern coyote,Hybrid (NE),U,948.3147462,,,,
14781_cranium_H,Northeastern coyote,Hybrid (NE),U,876.7242004,,,,
14782_cranium_H,Northeastern coyote,Hybrid (NE),F,906.8849003,,,,
14807_cranium_H,Northeastern coyote,Hybrid (NE),M,962.171592,,,,
14817_cranium_H,Northeastern coyote,Hybrid (NE),M,945.6243389,,,,
14818_cranium_H,Northeastern coyote,Hybrid (NE),F,873.3581105,,,,
15079_cranium_H,Northeastern coyote,Hybrid (NE),F,953.4081272,,,,
15130_cranium_H,Northeastern coyote,Hybrid (NE),F,860.6542426,,,,
15132_cranium_H,Northeastern coyote,Hybrid (NE),M,927.0708556,,,,
15135_cranium_H,Northeastern coyote,Hybrid (NE),M,925.6886153,,,,
15139_cranium_H,Northeastern coyote,Hybrid (NE),F,853.7661539,,,,
15142_cranium_H,Northeastern coyote,Hybrid (NE),F,856.462791,,,,
15145_cranium_H,Northeastern coyote,Hybrid (NE),U,936.5414672,,,,
15147_cranium_H,Northeastern coyote,Hybrid (NE),U,909.7145838,,,,
15173_cranium_H,Northeastern coyote,Hybrid (NE),F,963.1309085,,,,
15180_cranium_H,Northeastern coyote,Hybrid (NE),F,909.5075473,,,,
15197_cranium_H,Northeastern coyote,Hybrid (NE),F,880.1241033,,,,
15285_cranium_H,Northeastern coyote,Hybrid (NE),U,964.9634344,,,,
15286_cranium_H,Northeastern coyote,Hybrid (NE),U,852.9378117,,,,
15287_cranium_H,Northeastern coyote,Hybrid (NE),U,852.5255265,,,,
15293_cranium_H,Northeastern coyote,Hybrid (NE),F,958.6949325,,,,
15306_cranium_H,Northeastern coyote,Hybrid (NE),U,942.1887806,,,,
15313_cranium_H,Northeastern coyote,Hybrid (NE),M,894.117546,,,,
15316_cranium_H,Northeastern coyote,Hybrid (NE),M,937.880248,,,,
15319_cranium_H,Northeastern coyote,Hybrid (NE),M,885.4489844,,,,
15374_cranium_H,Northeastern coyote,Hybrid (NE),M,897.0804475,,,,
15376_cranium_H,Northeastern coyote,Hybrid (NE),F,854.525178,,,,
15377_cranium_H,Northeastern coyote,Hybrid (NE),U,862.4825314,,,,
15379_cranium_H,Northeastern coyote,Hybrid (NE),M,936.761636,,,,
15411_cranium_H,Northeastern coyote,Hybrid (NE),U,865.7950718,,,,
15508_cranium_H,Northeastern coyote,Hybrid (NE),U,954.9787487,,,,
15512_cranium_H,Northeastern coyote,Hybrid (NE),M,903.1375619,,,,
15520_cranium_H,Northeastern coyote,Hybrid (NE),U,941.0364935,,,,
15531_cranium_H,Northeastern coyote,Hybrid (NE),U,923.3655699,,,,
15536_cranium_H,Northeastern coyote,Hybrid (NE),U,932.8014806,,,,
15537_cranium_H,Northeastern coyote,Hybrid (NE),U,902.933947,,,,
15576_cranium_H,Northeastern coyote,Hybrid (NE),F,901.1674738,,,,
15586_cranium_H,Northeastern coyote,Hybrid (NE),F,899.4532632,,,,
15589_cranium_H,Northeastern coyote,Hybrid (NE),U,952.9487599,,,,
15609_cranium_H,Northeastern coyote,Hybrid (NE),U,945.2152141,,,,
15613_cranium_H,Northeastern coyote,Hybrid (NE),U,954.3837611,,,,
15614_cranium_H,Northeastern coyote,Hybrid (NE),U,941.01696,,,,
15615_cranium_H,Northeastern coyote,Hybrid (NE),M,905.6358525,,,,
15620_cranium_H,Northeastern coyote,Hybrid (NE),M,882.7481702,,,,
15621_cranium_H,Northeastern coyote,Hybrid (NE),M,940.4424897,,,,
15622_cranium_H,Northeastern coyote,Hybrid (NE),F,897.2851115,,,,
15623_cranium_H,Northeastern coyote,Hybrid (NE),M,903.1351618,,,,
15624_cranium_H,Northeastern coyote,Hybrid (NE),F,843.2701693,,,,
15626_cranium_H,Northeastern coyote,Hybrid (NE),F,853.0721398,,,,
15628_cranium_H,Northeastern coyote,Hybrid (NE),M,903.6642131,,,,
15753_cranium_H,Northeastern coyote,Hybrid (NE),M,889.6883422,,,,
15861_cranium_H,Northeastern coyote,Hybrid (NE),F,881.1185659,,,,
15953_cranium_H,Northeastern coyote,Hybrid (NE),F,885.9360586,,,,
15973_cranium_,Northeastern coyote,Hybrid (NE),F,880.6931094,,,,
15974_cranium_H,Northeastern coyote,Hybrid (NE),F,930.1268392,,,,
15976_cranium_H,Northeastern coyote,Hybrid (NE),F,918.9540668,,,,
15977_cranium_H,Northeastern coyote,Hybrid (NE),F,874.0327086,,,,
15978_cranium_H,Northeastern coyote,Hybrid (NE),F,932.0372938,,,,
15979_cranium_H,Northeastern coyote,Hybrid (NE),M,896.7232334,,,,
15980_cranium_H,Northeastern coyote,Hybrid (NE),F,910.3127505,,,,
15981_cranium_H,Northeastern coyote,Hybrid (NE),M,908.8188792,,,,
15987_cranium_H,Northeastern coyote,Hybrid (NE),F,871.7935438,,,,
18562_cranium_CLAT,Northeastern coyote,Hybrid (NE),U,904.0997255,,,,
18760_cranium_CLAT,Northeastern coyote,Hybrid (NE),U,908.3451575,,,,
18763_cranium_CLAT,Northeastern coyote,Hybrid (NE),U,864.0224129,,,,
71209_cranium_CLATIN,Western Coyote,Coyote (W),M,884.7738511,,,,
71802_cranium_CLATLAT,Western Coyote,Coyote (W),F,824.8679506,,,,
71806_cranium_CLATLAT,Western Coyote,Coyote (W),M,901.2849706,,,,
71807_cranium_CLATLAT,Western Coyote,Coyote (W),F,815.6496504,,,,
76458_cranium_CLATLAT,Western Coyote,Coyote (W),F,853.5790577,,,,
77497_cranium_CLATLAT,Western Coyote,Coyote (W),M,853.2402468,,,,
81967_cranium_CLATLAT,Western Coyote,Coyote (W),F,836.5217255,,,,
82039_cranium_CLATLAT,Western Coyote,Coyote (W),F,830.3077784,,,,
91663_cranium_CLATLAT,Western Coyote,Coyote (W),F,848.7535748,,,,
91664_cranium_CLATLAT,Western Coyote,Coyote (W),F,851.418345,,,,
187966_cranium_CLATLAT,Western Coyote,Coyote (W),F,859.3971948,,,,
187970_CRANIUM_CLATLAT,Western Coyote,Coyote (W),M,854.6718302,,,,
210997_cranium_CLATLAT,Western Coyote,Coyote (W),F,854.5921585,,,,
212962_cranium_CLATLAT,Western Coyote,Coyote (W),F,875.2151663,,,,
212964_cranium_CLATLAT,Western Coyote,Coyote (W),M,865.5128619,,,,
212965_cranium_CLATLAT,Western Coyote,Coyote (W),M,897.5547351,,,,
214877_CRANIUM_CLATLAT,Western Coyote,Coyote (W),M,908.6358238,,,,
214883_cranium_CLATLAT,Western Coyote,Coyote (W),F,841.9622837,,,,
214891_cranium_CLATLAT,Western Coyote,Coyote (W),F,844.8026799,,,,
216269_cranium_CLATLAT,Western Coyote,Coyote (W),M,895.490804,,,,
216272_cranium_CLATLAT,Western Coyote,Coyote (W),M,913.3963779,,,,
216283_cranium_CLATLAT,Western Coyote,Coyote (W),F,866.5700064,,,,
216284_cranium_CLATLAT,Western Coyote,Coyote (W),F,856.9495084,,,,
216329_cranium_CLATLAT,Western Coyote,Coyote (W),F,815.8279618,,,,
216401_cranium_CLATLAT,Western Coyote,Coyote (W),M,927.513689,,,,
216403_cranium_CLATLAT,Western Coyote,Coyote (W),M,925.6725196,,,,
223437_cranium_CLATLAT,Western Coyote,Coyote (W),F,889.2110954,,,,
225011_cranium_CLATLAT,Western Coyote,Coyote (W),M,902.0791495,,,,
BU005skull,Gulf Coast Canid,Hybrid (GCC),F,858.2647627,,,,
BU006skull,Gulf Coast Canid,Hybrid (GCC),M,976.9557082,,,,
BU007skull,Gulf Coast Canid,Hybrid (GCC),M,933.6614006,,,,
BU008CanislatransMaleCraniumFromSteveParker,Southeastern Coyote,Coyote (SE),M,1018.660006,,,,
BU019skull,Gulf Coast Canid,Hybrid (GCC),U,995.9154247,,,,
CanislatransLSUMZ8072Skull,Red Wolf,Red Wolf,U,1056.623521,,,,
CanislatransLSUMZ9206skull,Southeastern Coyote,Coyote (SE),F,931.1074405,,,,
canislatransLSUMZ11272meshdataskull,Southeastern Coyote,Coyote (SE),M,927.281179,,,,
CanislatransLSUMZ11274Skull,Southeastern Coyote,Coyote (SE),F,902.9467903,,,,
CanislatransLSUMZ13749skull,Southeastern Coyote,Coyote (SE),M,900.0659705,,,,
CanislatransLSUMZ16999skullmeshdata,Southeastern Coyote,Coyote (SE),U,890.6024249,,,,
CanislatransLSUMZ17022skullmeshdata,Southeastern Coyote,Coyote (SE),U,915.5058912,,,,
CanislatransLSUMZ20904skull,Gulf Coast Canid,Hybrid (GCC),M,950.6732876,,,,
CanislatransrufushybridLSUMZ26829skull,Gulf Coast Canid,Hybrid (GCC),U,898.3244886,,,,
CanisrufusLSUMZ1024skullmeshdata,Red Wolf,Red Wolf,U,1042.545212,,,,
CanisrufusLSUMZ1025Skull,Red Wolf,Red Wolf,U,1100.014006,,,,
CanisrufusLSUMZ7006skullmeshdata,Red Wolf,Red Wolf,M,1036.853397,,,,
CanisrufusLSUMZ17021Skull,Red Wolf,Red Wolf,M,986.0099979,,,,
CanisrufusLSUMZ17872skull,Red Wolf,Red Wolf,U,1080.955218,,,,
CanisrufusxlatransLSUMZ13750Skull,Gulf Coast Canid,Hybrid (GCC),M,1009.184653,,,,
SKullBU002meshdata,Gulf Coast Canid,Hybrid (GCC),U,960.1774121,,,,
SkullBU003Meshdata,Gulf Coast Canid,Hybrid (GCC),U,894.6818284,,,,
